patch_id,city_code,n_buildings,building_density,mean_building_footprint,std_building_footprint,mean_nn_distance,std_nn_distance
cairo_0942,cairo,9,0.0251,1787.37,3225.63,75.42,70.86
cairo_0578,cairo,2,0.0019,612.7,90.77,208.21,0.0
cairo_0496,cairo,16,0.0164,657.08,1253.59,61.31,74.62
cairo_0991,cairo,103,0.1132,703.34,1617.09,27.58,24.36
caracas_0148,caracas,110,0.1714,996.99,2196.65,30.67,29.44
caracas_0043,caracas,17,0.0281,1058.43,1250.02,67.89,46.75
caracas_0120,caracas,27,0.0205,485.61,381.75,38.32,35.7
caracas_0068,caracas,0,0.0,,,,
caracas_0373,caracas,1447,0.2905,128.49,345.14,10.16,9.37
caracas_0387,caracas,1855,0.2063,71.16,85.22,9.21,5.15
caracas_0399,caracas,971,0.1881,123.99,448.83,10.6,10.07
casablanca_0041,casablanca,100,0.0445,284.51,370.5,38.91,23.5
casablanca_0269,casablanca,46,0.051,710.15,1150.18,35.51,29.08
casablanca_0259,casablanca,307,0.1515,315.73,421.09,21.17,13.98
casablanca_0103,casablanca,264,0.13,315.05,409.34,19.58,16.99
casablanca_0048,casablanca,10,0.005,320.66,327.9,47.33,33.49
casablanca_0078,casablanca,43,0.0746,1110.36,1902.93,56.62,33.96
casablanca_0261,casablanca,21,0.0253,769.87,647.55,43.37,14.01
casablanca_0316,casablanca,25,0.0462,1181.78,1407.84,72.96,64.65
casablanca_0243,casablanca,70,0.0907,829.08,1146.55,45.99,45.4
casablanca_0159,casablanca,184,0.1349,469.18,654.66,23.92,18.63
casablanca_0262,casablanca,44,0.0421,612.14,635.09,36.2,38.72
chandigarh_0157,chandigarh,1,0.0071,4521.54,0.0,,
chandigarh_0018,chandigarh,5,0.0038,486.67,112.93,66.22,32.27
chandigarh_0102,chandigarh,297,0.0392,84.41,71.68,8.96,6.86
chandigarh_0057,chandigarh,339,0.0751,141.81,60.99,10.72,10.65
chandigarh_0026,chandigarh,62,0.0155,160.13,67.36,14.35,26.89
chandigarh_0035,chandigarh,7,0.0016,148.89,14.55,88.96,135.75
chandigarh_0113,chandigarh,2,0.0078,2489.36,192.95,30.64,0.0
chandigarh_0170,chandigarh,417,0.066,101.22,10.5,8.06,4.34
chandigarh_0090,chandigarh,154,0.1272,528.7,1512.56,22.29,34.44
chandigarh_0055,chandigarh,805,0.1,79.48,36.82,6.53,3.97
chandigarh_0043,chandigarh,458,0.1169,163.3,170.4,10.36,6.43
chandigarh_0088,chandigarh,163,0.0329,129.06,81.54,15.17,34.04
chandigarh_0056,chandigarh,63,0.0105,106.76,108.55,17.1,30.97
chandigarh_0153,chandigarh,1,0.0001,84.64,0.0,,
chandigarh_0158,chandigarh,4,0.0132,2110.25,1894.81,329.8,254.59
chennai_0572,chennai,279,0.0504,115.58,227.2,11.11,7.47
chennai_0193,chennai,1071,0.2616,156.32,118.99,12.73,6.09
chennai_0186,chennai,1005,0.3187,202.96,197.44,14.46,8.01
chennai_0614,chennai,2,0.0008,253.12,241.99,44.74,0.0
chennai_0157,chennai,398,0.1489,239.39,333.01,17.3,14.33
chennai_0277,chennai,729,0.2933,257.53,231.07,16.47,6.33
chennai_0194,chennai,1433,0.3103,138.59,312.21,10.78,5.81
chennai_0427,chennai,32,0.0092,184.78,49.43,22.1,14.52
chennai_0481,chennai,722,0.2217,196.53,179.76,17.06,7.31
chennai_0025,chennai,957,0.2236,149.57,201.54,13.95,6.11
chennai_0446,chennai,281,0.1376,313.36,500.62,22.34,14.05
chennai_0188,chennai,914,0.3812,266.9,229.53,15.74,7.28
chennai_0221,chennai,1030,0.2439,151.53,126.88,13.33,4.53
chennai_0069,chennai,942,0.2285,155.25,88.41,14.1,5.62
chennai_0046,chennai,760,0.1737,146.28,93.96,15.14,6.5
chennai_0044,chennai,460,0.1754,244.02,948.94,15.67,12.96
chennai_0216,chennai,84,0.0549,418.23,775.35,25.45,22.05
chennai_0644,chennai,180,0.0359,127.77,149.18,16.08,12.39
chennai_0503,chennai,467,0.1499,205.47,325.97,16.4,11.21
chennai_0411,chennai,740,0.1881,162.69,376.93,15.03,8.41
chennai_0403,chennai,848,0.3164,238.83,178.29,16.93,6.63
chennai_0622,chennai,1090,0.3649,214.22,319.61,11.48,9.47
chennai_0324,chennai,919,0.1972,137.34,107.53,14.96,6.08
chennai_0374,chennai,4,0.0037,597.67,698.99,91.45,6.18
chennai_0394,chennai,285,0.1016,228.07,934.67,17.26,18.09
chennai_0178,chennai,989,0.2462,159.35,364.73,14.62,5.48
chennai_0307,chennai,1055,0.2696,163.52,121.14,14.34,4.7
chennai_0154,chennai,304,0.1148,241.79,365.32,20.74,19.64
chennai_0275,chennai,835,0.2675,205.02,249.72,15.34,6.94
chennai_0317,chennai,783,0.2417,197.55,117.78,17.36,6.55
chennai_0464,chennai,329,0.0574,111.66,61.54,13.66,17.17
chennai_0148,chennai,785,0.1233,100.49,91.55,12.1,6.74
