patch_id,city_code,circuity,total_network_length,total_straight_length,n_edges_in_circuity
denver_0277,denver,1.019875,13557.74,13293.53,188
denver_0065,denver,1.019306,32030.76,31424.1,1014
denver_0294,denver,1.01826,13784.66,13537.47,312
denver_0399,denver,1.036875,6332.37,6107.17,260
denver_0244,denver,1.095888,13359.14,12190.24,265
denver_0174,denver,1.029135,22044.59,21420.51,491
denver_0253,denver,1.049174,10374.84,9888.58,228
denver_0319,denver,1.012963,12723.26,12560.43,307
denver_0494,denver,1.033733,6574.59,6360.04,257
denver_0200,denver,1.015859,31044.77,30560.13,1008
denver_0284,denver,1.070499,7602.35,7101.69,167
denver_0139,denver,1.048091,14070.92,13425.29,244
denver_0162,denver,1.036301,29666.97,28627.75,1012
denver_0089,denver,1.005199,32222.07,32055.4,899
denver_0210,denver,1.035803,30937.54,29868.16,1014
denver_0305,denver,1.112096,15429.86,13874.58,386
denver_0117,denver,1.012352,14029.22,13858.04,345
denver_0457,denver,1.113408,15619.76,14028.78,246
denver_0203,denver,1.056973,19640.97,18582.28,568
denver_0202,denver,1.028211,30125.87,29299.3,936
denver_0417,denver,1.095751,15958.2,14563.7,340
denver_0463,denver,1.12163,19559.65,17438.59,461
